"Category","RelativePath","Bytes","Chars","Lines","SHA256","ChunkChars","TotalChunks","ReadUntil","Status"
"00-book","00-book\Rem Koolhaas：《Delirious New York a retroactive manifesto for Manhattan》.md","484652","481750","28","18B6CD573902144F9B432E0B747055D9C5D5E96FC7E5312368A52542CD2C20A1","7000","69","0","PENDING"
"00-book","00-book\Research：《through design and transdiscipl》.md","57087","56547","251","AD341D38F920EFCF24D776FF971E803DE25039FCF79C4425C6C225FCAEF5B505","7000","9","0","PENDING"
"00-book","00-book\Reyner Banham：《A Critic Writes Selected Essays by Reyner Banham (Centennial Books)》.md","917532","912158","36","0A6A47A57240DA9FD7A2EA77CB3E9DAEEA9541BEFA166AE93AA378293AEED55F","7000","131","0","PENDING"
"00-book","00-book\Reyner Banham：《Theory and Design in the First Machine Age》，1960.md","761128","759796","44","2A0E14F2A010EC179C662D3A95092479DB0E3D900D1DE04315B70CE05DB72C05","7000","109","0","PENDING"
"00-book","00-book\Richard Hollis：《Graphic Design A Concise History》.md","113207","112978","22","4B07C7DB6468585FB0F57D3671931C2F3956228F91387A43C7E01F917FFEB619","7000","17","0","PENDING"
"00-book","00-book\Richard Poulin：《Graphic Design and Architecture A 20th Century History》，2012.md","551261","546571","34","C0F9DF4EA285FF828B8E220B2FFB9D0A1B2241B3A187D97546E093411A8F83F8","7000","79","0","PENDING"
"00-book","00-book\Richard Stites：《Revolutionary Dreams Utopian Vision and Experimental Life in the Russian Revolution》，1989.md","1116853","1109282","20","E57F3ADA10EFCF3A1556394CE3B89ADA521BD0FE22962B7E2805EF5266C4FC22","7000","159","0","PENDING"
"00-book","00-book\Richards, Thomas：The Commodity Culture of Victorian England：Advertising and Spectacle, 1851-1914, 1991.md","651840","650041","22","ACB97EEF1FFA1165982FA3717496765E8E6C67F0E9AF50D76624318BEC43382E","7000","93","0","PENDING"
"00-book","00-book\Rick Poynor：《No More Rules Graphic Design and Postmodernism》.md","474459","473343","3830","0A0C08B33A068CD8D8DFDD0DE7F3125945CEB4B029989ED9EFE33D67534B17B8","7000","68","0","PENDING"
"00-book","00-book\Robert Bringhurst：《The Elements of Typographic Style》，1992.md","786058","780557","106","4C8C9A0FBCCE8CA867D6DDDA110788BF328EA88EC0B8F048168673D721CA2D13","7000","112","0","PENDING"
"00-book","00-book\Robert H. McKim：《Experiences in Visual Thinking》，1972.md","471545","470673","40","ADD61E130D02CFD43DE74E934F32B14E60EF0C2647CFD5D419D34DB60745D319","7000","68","0","PENDING"
"00-book","00-book\Robert Schmutzler：《Art Nouveau (1962)，1962》.md","801213","796988","6443","48D45248BB3614C5872ED374DFF0E9FBFF3DB94BF91FC4485688300019878EB2","7000","114","0","PENDING"
"00-book","00-book\Robert Venturi, Denise Scott Brown, Steven Izenour：《Learning from Las Vegas The Forgotten Symbolism of Architectural Form》，1972.md","268740","268444","28","7E7CE91FF247271378CE82B8336F2A8C24EEB605AC6CEF9BBC8111DC8A5C68AB","7000","39","0","PENDING"
"00-book","00-book\Robert Venturi：《Complexity and Contradiction in Architecture》.md","303848","303323","264","BFA326A5796BC65A31D73C2AD01ED3FC0707CE4EE2A9DAE5346F9F00B7A3E240","7000","44","0","PENDING"
"00-book","00-book\Roger L. Martin：《The Design of Business》，2009.md","316292","313682","36","498C9B46125D91AFE532B174A70632E9FAE67B37813AC72681383344BF59583B","7000","45","0","PENDING"
"00-book","00-book\Roland Barthes：《Mythologies》，1957.md","479468","465835","8","CDA9C4842A4BBD16E2C35D6E3A40C2F393FBCD71D226E4A814CDE4E478984F75","7000","67","0","PENDING"
"00-book","00-book\Roland Marchand：《Advertising and the American dream - Making way for modernity, 1920-1940》.md","1303152","1293937","204","94A8EB9A213142B3F81CC3A178BF1EF0BAA779785BC4C84571F52835DD954CFA","7000","185","0","PENDING"
"00-book","00-book\Rossi, Aldo：The Architecture of the City, 1966.md","561894","559208","1","F2DAB11E6511EA131187A1A2E965A2B1C8EAB1EDAB991FD3A6D2F82BC8FA6A21","7000","80","0","PENDING"
"00-book","00-book\Roy, Tirthankar：The Economic History of India, 1857-1947, 2000.md","734207","732663","108","65FEB7D527C11A1B0D960A9F30AB63488D4A240ACF908418520552BD82333879","7000","105","0","PENDING"
"00-book","00-book\Rudolf Arnheim：《Art and Visual Perception A Psychology of the Creative Eye》.md","1111188","1110177","583","D620A7639E1C63926383CCC2CCB84ADD78D8EB213819B361C66B54D685C0F34C","7000","159","0","PENDING"
"00-book","00-book\Rudolf Arnheim：《The Dynamics of Architectural Form Based on the 1975 Mary Duke Biddle Lectures at the Cooper Union》，1975.md","567852","567024","11","2C3980D6409D2821DB8D12841673D92DDA1BC8C292B5928EF0C978F760659322","7000","82","0","PENDING"
"00-book","00-book\Rudolf Arnheim：《Visual Thinking》.md","769098","768463","43","46B2AC20B5850B0FE8DCA8FCC01A71463F566A4FFB384B835C4281458E540D9B","7000","110","0","PENDING"
"00-book","00-book\Ruskin, John：《The Seven Lamps of Architecture》.md","458935","458475","26","3EE3248283A7056AC28FE7821554FB22B0F098D24067C42AC2BDEF357265133A","7000","66","0","PENDING"
"00-book","00-book\Ruskin, John：《The Stones of Venice》.md","1766932","1764290","175","EC8980C84133CD56FDD3E57082B580EA605BBD7AC032E9AFFDA5505D65069DC6","7000","253","0","PENDING"
"00-book","00-book\S. J. Vainker：《Chinese pottery and porcelain from prehistory to the present》.md","497857","497252","38","94B649213C8E35C1E8DB95321AF9DD9E4B33CCB66E1270E1F16403472CB0ED3F","7000","72","0","PENDING"
"00-book","00-book\Safiya Umoja Noble：《Algorithms of Oppression How Search Engines Reinforce Racism》.md","497976","493755","3036","B1F2EAFCAB9D3097D0FE284A25F9BE2F4415932121CD9EE85254B817C26BE78F","7000","71","0","PENDING"
"00-book","00-book\Sanders：《Co-creation and the new landscapes of design》.md","44478","44254","253","3F355DF8A3E2E772FF7F29D164E1CBC92FC70E1F486EF9596D021710E7C9DCC3","7000","7","0","PENDING"
"00-book","00-book\Sara Kristoffersson：《Design by IKEA _ A Cultural History，2019》.md","435211","429556","3436","94FAF20E2ABA45C70BABC0B27BABDC0A9CCC33639191D25954637A9ADF543E40","7000","62","0","PENDING"
"00-book","00-book\Scandinavian Design Alternative Histories (Kjetil Fallan (editor)).md","770062","760378","4988","1A0078284D4EAF0447CB9C65DB7ED86F3149162FE8C0CE607A184C57565DA49E","7000","109","0","PENDING"
"00-book","00-book\Schon, Donald A.：The Design Studio：An Exploration of Its Traditions and Potentials, 1985.md","235272","233743","15","ED588F4660F83B7230FC6974A8302AFE0E46E00A61615CA6B0476FE958CB3D59","7000","34","0","PENDING"
"00-book","00-book\Scott McCloud：《Understanding Comics The Invisible Art》，1993.md","143778","143606","1","28FD347C864C205A23E24C6D32A97018EC5E01A68167A9190DEB7D81F6004605","7000","21","0","PENDING"
"00-book","00-book\SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec.md","17866","17821","51","3CA4CC23CCB3C5BAB8B2207E55FED91ED49234C01EF311606778EAB5FD0C59AB","7000","3","0","PENDING"
"00-book","00-book\Selim O. Khan-Magomedov：《Pioneers of Soviet Architecture The Search for New Solutions in the 1920s and 1930s》，1987.md","1206225","1198916","33","11AB4B9697CDEA487E5E5AB88B705A7D95224EF2CA9CA6C00BEC49B227340235","7000","172","0","PENDING"
"00-book","00-book\Sennett, Richard：The Craftsman, 2008.md","657436","650305","28","A5016A6CF5F2B9193AE5A68545326E56E6477E45021E094A5B1ECC0E461841E1","7000","93","0","PENDING"
"00-book","00-book\Sharon Zukin：《Landscapes of Power From Detroit to Disney World》.md","879195","765868","3548","352846DC672AD2769B83BBAD5F26615A85C89689872DD1F593B0D1341EC2D2BA","7000","110","0","PENDING"
"00-book","00-book\Sheila Fitzpatrick：《Cultural Revolution in Russia, 1928-1931》.md","764631","761961","32","54E8142230308379602851AE8C83B68235F21709A4865C8CEDB5F4059E43019E","7000","109","0","PENDING"
"00-book","00-book\Silverman：《Art nouveau in fin-de-siècle France politics, psychology, and style》.md","1212743","1204026","8052","C8A33E9502BA9540745BEE5D65FAEF6FEA9AD088D3FF2569EA3921678227C2CD","7000","173","0","PENDING"
"00-book","00-book\Simon, Herbert A.：The Sciences of the Artificial, 1969.md","393560","393514","26","0EF679E5E0F31DE82E6778D32EFA77142E56DD869257124CE3DF232114C912E3","7000","57","0","PENDING"
"00-book","00-book\Sparke, Penny, An Introduction to Design and Culture, 1986.md","728302","720950","11806","A3C4542C18A533BCA084254364DA3AFB52675C879C0882E40186F337DCFC21BE","7000","103","0","PENDING"
"00-book","00-book\Sparke, Penny：《An introduction to design and culture 1900 to the present》.md","665409","662775","10","FA4F3804C5A0FFB6A08EAEEC90A362CBEB8AC01530D019B9659D127F5957D553","7000","95","0","PENDING"
"00-book","00-book\Sparke, Penny; Fisher, Fiona (eds.), The Routledge Companion to Design Studies, 2016.md","1780964","1763426","29621","45F02BB7D33FBA39D0B57DCCBFFB9EEB93F9D26927BF9716475B9984E9D490B7","7000","252","0","PENDING"
"00-book","00-book\Sparke：《An introduction to design and culture _ 1900 to the present，2020》.md","664923","662024","4171","AF0CA6FBF040FF0D9B105D3C5D72887471B4C82EA2C1601C4A5560EC5C2718BE","7000","95","0","PENDING"
"00-book","00-book\Sprigg, June：《Shaker design》.md","290114","288975","6","B267B20E7A1DC71CEAEBD4EDC4FF986D3C5113844E92828372DBCB420919CFC3","7000","42","0","PENDING"
"00-book","00-book\Stanley Abercrombie：《George Nelson The Design of Modern Design》.md","569266","565872","6206","3314FC5404D41060A977D8A4834A67BB6ADE0305148BFF4AE99117AA6543C90C","7000","81","0","PENDING"
"00-book","00-book\Stephen J. Eskilson：《Graphic Design A New History》，2007.md","1307505","1303208","77","2ED212EC3AF289E83F1D2DA96C5ED907A30C35D549FC05C392B590D805248B04","7000","187","0","PENDING"
"00-book","00-book\Steve Krug：《Dont Make Me Think, Revisited》.md","335589","327158","4155","EAE232172078E31FAA0D21E03651A5E288BE7D17F99B84A7F693E5D305489A9F","7000","47","0","PENDING"
"00-book","00-book\Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi.md","637780","630753","4792","FE3D0606A9D6D9DE245D9809A22F2F8CFA0AE5003AC4AE9A7853788D4E36820D","7000","91","0","PENDING"
"00-book","00-book\Steven Heller, Georgette Ballance：《Graphic Design History》，2001.md","916871","912431","42","D5C3B77DEDD1D3E591447C75F1364B3521717791702DBDF29832D7B263FC4522","7000","131","0","PENDING"
"00-book","00-book\Steven Heller, Veronique Vienne：《100 Ideas that Changed Graphic Design》.md","471770","470128","254","3B099ED279794FB702A3EEAB01F098F785C7BDC24284CB5CF7F4E518101689DE","7000","68","0","PENDING"
"00-book","00-book\Strasser：《Getting and Spending (European and American Consumer Societies in the.md","54884","54738","113","A552A4F336568C59C0374F1627B12456A04464F669FE5C93C3329AF1CFADD0A2","7000","8","0","PENDING"
"00-book","00-book\Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C.md","1104296","1095547","6215","84D476AD81C31DC6DEBA53631B7118C388D7C08E147D48E4355E126A4713408F","7000","157","0","PENDING"
"00-book","00-book\teaching design -- (德)克劳斯·雷曼(Klaus Lehmann)：《设计教育 教育设计》.md","279556","183729","2694","D67B7C081F6CF5CF02003A0059B6D98109F26EE02677754840E87208AD07234A","7000","27","0","PENDING"
"00-book","00-book\Teal Triggs：《Graphic Design History Past, Present, and Future》，2011.md","11066","10903","1","C6A2ED000EBEDBBD282D309832D8D3C67B4647CA4DD449E9FAC254FD9A331BF2","7000","2","0","PENDING"
"00-book","00-book\Terry Winograd, Fernando Flores：《Understanding Computers and Cognition》，1986.md","484325","481577","28","49F4B18CA0734548460289D11DFE53783B9D69A6A4DE830D731E3DDCC991BD99","7000","69","0","PENDING"
"00-book","00-book\Teun den Dekker：《Design Thinking》.md","327570","325691","37","10401544179A4BD8DD1ADAAA16280764306BDF65BBD32D511B0B0ED77E9858F8","7000","47","0","PENDING"
"00-book","00-book\Thackara, John (ed.), Design After Modernism, 1988.md","708143","707551","10851","52D3472C77B922E0978078BAE2FAC41351B95DAB00E6780BA1AFAFA0A4AFE7BF","7000","102","0","PENDING"
"00-book","00-book\The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar.md","716473","713085","5827","CD025F3E4B61BE73CA3C46C4F9F2AC039B5E751D520664286EA64DB309B42FCE","7000","102","0","PENDING"
"00-book","00-book\The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York.md","1648268","1643949","9161","8B630C2F2BCACDEDD941066FCC3F95846FDF89B2E6C6BD49A62BE8079FE09C5F","7000","235","0","PENDING"
"00-book","00-book\The design philosophy reader _ edited by Anne-Marie Willis_ -- Anne-Marie Willis.md","1050147","1040927","14913","99703658E6E3DEB9F376ECC17C716BD9E2ACCD8C7936AC311690DC2193C83DF1","7000","149","0","PENDING"
"00-book","00-book\The designed world _ images, objects, environments -- Buchanan, Richard (editor).md","1258754","1244150","6093","5E4BFD34370D07166896B00CEC4BB3A24F147BBE7CFD98603B12ABB0BC8076A2","7000","178","0","PENDING"
"00-book","00-book\The green imperative _ natural design for the real world -- Papanek, Victor J --.md","596196","594410","3854","68CB8E5B0D0AD48564D2C5E863E4193404B6D733C2CC2AF112BEECCDB5D65B55","7000","85","0","PENDING"
"00-book","00-book\The Politics of Design： A (Not So) Global Design Manual for -- [writer and desig.md","197914","196534","2387","C233F58E92D47064C10848DD22A50D4C0871A5CECB1B97108E7AC753D7DDFB18","7000","29","0","PENDING"
"00-book","00-book\The printed image and the transformation of popular culture, 1790-1860 (Anderson.md","434864","432927","2612","2746806EEF50604D6D64209DD37C3BD0852A8550E305811427FE6CD4B492857D","7000","62","0","PENDING"
"00-book","00-book\The Sciences：《of the Artificial Simon 3rd ed》.md","486308","486272","4197","F85AE5D7FDD5B99F0919D203E8F607A9672ACA2AAD3D9955243E967FF9316CD4","7000","70","0","PENDING"
"00-book","00-book\Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》.md","2709017","2683694","10541","13FDEE92FA215CCEC0D3358AA81A5BA8370AE56CFA2A3FCD6FED357E7C52D190","7000","384","0","PENDING"
"00-book","00-book\Thorpe：《Design with society why socially responsive design is good enough》.md","50585","49856","227","27D12AB685E00ABBE7AB84D3B278EB6C345F940A6863E4FD44D0867610C4B882","7000","8","0","PENDING"
"00-book","00-book\Tim Brown：《Change by Design How Design Thinking Transforms Organizations and Inspires Innovation》.md","423950","420195","40","7F45C66BE25A46907390C2CB3A201A50121B00DE24F75A0C83285861824719A1","7000","61","0","PENDING"
"00-book","00-book\Tom Flynn Tim Barringer：《Colonialism and the object empire, material culture and the museum》.md","600220","598277","4528","409950F150CC781832F66F2846B5A1010C0458A2CD868498CC69327E2A012070","7000","86","0","PENDING"
"00-book","00-book\Tom Kelley, Jonathan Littman：《The Art of Innovation》，2001.md","517790","514614","14","756F43897CA5D36810584B6F8852E225123F9969F5420E2B7DCACEAE91A70B66","7000","74","0","PENDING"
"00-book","00-book\Valerie Steele：《Fashion and Eroticism Ideals of Feminine Beauty from the Victorian Era to the Jazz Age》，1985.md","847727","843387","12","01E8D5A50190372399D5DAA456DEAFC63407A2E2C81D92D51A25DA03C424A461","7000","121","0","PENDING"
"00-book","00-book\Vance Packard：《The Hidden Persuaders》，1957.md","509082","506775","14","CAE0162CECAA67DF473B6879240B230DFF9CC8B39759FEDE1D15445F8B8E3141","7000","73","0","PENDING"
"00-book","00-book\Vance Packard：《The Waste Makers》，1960.md","599581","598443","46","6CC00E9F343450A73784D9E7D1D252FEF9B2E1E6193E88B245DAD3F1B0F084BA","7000","86","0","PENDING"
"00-book","00-book\Victor Margolin：《Design discourse history, theory, criticism》.md","897397","896829","51","76A0F5A075EE373F180F360316AEC384B4D39126483F954550F4AA9AA0D4AE3F","7000","129","0","PENDING"
"00-book","00-book\Victor Margolin：《World History of Design World War I to World War II》.md","3256644","3246508","89","9BCBAD860898A12B56C485AAA191E8293AFFD79DC27ADA742D23192E8979AEDD","7000","464","0","PENDING"
"00-book","00-book\Victor Papanek：《Design for the Real World Human Ecology and Social Change》.md","706333","704478","41","3FCD19A11868F81ABE179BEC69570810BA58CC80AFCF38DF68CB1CBCBF4AE7DE","7000","101","0","PENDING"
"00-book","00-book\Victor Tupitsyn：《The Museological Unconscious Communal (Post)Modernism in Russia》，2009.md","652234","640094","38","1BAB0A1E06F9AEDEF3F65A0B4248A7A72A42D0DC7866488D359651CBD274EAEC","7000","92","0","PENDING"
"00-book","00-book\Victoria Charles：《Art Deco》.md","290443","289254","4","11E1096BD9041F9A850E660732F68F20A6EBB092919616D61D316396FD82CDA2","7000","42","0","PENDING"
"00-book","00-book\Victoria E. Bonnell：《Iconography of Power Soviet Political Posters under Lenin and Stalin》，1997.md","679575","677001","59","67FE7C11CAAA89CD482F5E6F99B30B158D5C1C61D0A8F3741754350BE8E7777F","7000","97","0","PENDING"
"00-book","00-book\Walker, John A., Design History and the History of Design, 1989.md","583302","583248","10615","C01184A75740BB2573917F4D37BA9883BF430FB09442427459AD0D660FCB5D08","7000","84","0","PENDING"
"00-book","00-book\Walker, John Albert; Attfield, Judy：Design History and the History of Design, 1989.md","431776","429576","12","63D3D03D11D5C5F62CB2856E8DD645F12CC3071950A75B3411CD36403459C98D","7000","62","0","PENDING"
"00-book","00-book\Walker：《Design History and the History of Design》.md","531486","530917","3961","C1F5A596D94B724ABA46CD86F29C2A8842A7DE8B769007D8FF81A6179AE9F522","7000","76","0","PENDING"
"00-book","00-book\Walker：《Sustainable by design explorations in theory and practice》.md","468209","466038","3104","950AAFF7C27DB63FE936D34B501677BF66DD52E8A20FE4E8D64A048032FBDAD2","7000","67","0","PENDING"
"00-book","00-book\Walter Crane：《Line and Form》.md","287887","286832","38","08FC94C0E7053D787B0D529EC6E12D78D18D97C6064D14CC049BF1EDBDDF185F","7000","41","0","PENDING"
"00-book","00-book\Walter Crane：《Of the Decorative Illustration of Books Old and New》.md","182039","181712","14","721BF7C066D19C28D6CE855A122AB56FA02047CC3813230FDB942CCADEFE0AAF","7000","26","0","PENDING"
"00-book","00-book\Walter Gropius：《The New Architecture and the Bauhaus》，1935.md","83668","83521","6","851D799B14341704CFD12285CB89A7F2A2DF837ED98F115B89DED6A1F45CEB77","7000","12","0","PENDING"
"00-book","00-book\Wassily Kandinsky：《Concerning the Spiritual in Art》.md","153704","153532","12","2D642C447381B9D75DB0CC452F8680BAA529D9F4615893B7D6A5D64F2CDF754F","7000","22","0","PENDING"
"00-book","00-book\Wassily Kandinsky：《Point and Line to Plane》，1926.md","205211","203119","24","ED43080EBE9CC03219ADB2BB732BA86C068AC59DDEB8A71CDD0113615E046608","7000","30","0","PENDING"
"00-book","00-book\Wayshowing – A Guide to Environmental Signage Principles and Practices () (z-lib.md","14329","14173","96","D4ABC9F7B245C19CA11E9A85A686ECC4E6A4F73731360F259416473ECDD28725","7000","3","0","PENDING"
"00-book","00-book\Weiner, Annette B.; Schneider, Jane：《Cloth and human experience》.md","961635","958287","26","642F8D39E2311B86EC13947BDD68BB8CA68FB3F32DEAF47B280C7BAD89A4628E","7000","137","0","PENDING"
"00-book","00-book\Weisberg：《The origins of lart nouveau the Bing empire》.md","648687","645643","8510","1F18977AD7931BF7A9E492D122F83C8742F01DEE1063E4F5CC3A195F60DCDEDB","7000","93","0","PENDING"
"00-book","00-book\Wendy Kaplan：《The arts crafts movement in Europe America design for the modern world》.md","591763","589582","22","362183191BB54807E2057BC7B26520361AB902E0831C71B541C51C90E9EC7566","7000","85","0","PENDING"
"00-book","00-book\Wendy Siuyi Wong：《Hong Kong comics. A history of manhua》.md","318814","303069","5503","1A6E6AA7C5EFCF6000E9D68907A8CD5EB2FE4CDC575B5E505A52D7A97B83C03B","7000","44","0","PENDING"
"00-book","00-book\Wichmann：《Japonisme the Japanese influence on Western art since 1858》.md","1168795","1161457","16929","A8C7E90539B0E64616C0C82E250A65BF13C496B12B82D3B71E9ECF2B34048796","7000","166","0","PENDING"
"00-book","00-book\Wick：《Teaching at the Bauhaus》.md","1399942","1390613","10831","CC564758F985EC795849A56EBC88A763A517FE0FE05A150FC919194B1903C9B1","7000","199","0","PENDING"
"00-book","00-book\Wicked Problems：《in Design Thinking Buchanan，1992》.md","66462","66295","242","A971B16FFDAFB2EEF80B3214E745E1BB98EDE711ACAB281C4209A2CB64D283E4","7000","10","0","PENDING"
"00-book","00-book\William Morris：《The Ideal Book Essays and Lectures on the Arts of the Book》.md","362271","361094","22","1896145EB87B983602390B11124AA22729133F80FC36BBF3076618BCD4838FD2","7000","52","0","PENDING"
"00-book","00-book\William S. Peterson：《A bibliography of the Kelmscott Press》.md","576481","571881","18","CF6C96C0083DBCDB88CD7F3EE0763D12655AD237C3B00E2CE57A37D65BB068FE","7000","82","0","PENDING"
"00-book","00-book\Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN.md","348313","346371","2297","EFC11FFDCA5173477E2083DCC46520A83077379B7AF3F02D1C1DC18EA1DD6710","7000","50","0","PENDING"
"00-book","00-book\Witold Rybczynski：《Home A Short History of an Idea》，1986.md","473217","469335","38","CC083D67061D2009B78BD937FC3A3BA2461BF8FEB7E8B4162C5A2C1159E858D3","7000","68","0","PENDING"
"00-book","00-book\Wixon：《Field methods casebook for software design》.md","757296","756119","5532","FF9BDF541D261B04F64E9B03367E4E3F2D8F368C66BD22AC48046A6C164E957B","7000","109","0","PENDING"
"00-book","00-book\Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001.md","3406757","3397612","241","2CE85AF3BA3796F4FB4766EC5568B2E577954F8DCBA59310D0C5AC7B9F80838D","7000","486","0","PENDING"
"00-book","00-book\World History Of Design - Volume 2_ World War I To World War -- Victor Margolin.md","3274520","3264379","18056","A6F1C7D71F2605C822F1F68DFEAA484E326EC80D3CDB259F9D4280CF7007CB87","7000","467","0","PENDING"
"00-book","00-book\Wozencroft：《The graphic language of Neville Brody》.md","405190","403867","3950","F1A3C58F5451BA944FFB23ACB04369C7F27457E2B8574C0BDD266B1B05430B94","7000","58","0","PENDING"
"00-book","00-book\Zeynep Çelik：《Displaying the Orient Architecture of Islam at Nineteenth-Century Worlds Fairs》.md","421929","419897","1","7433521274FD4F76D0426116AA135340C77042F45A01C9B021E6B47E4E2C2E22","7000","60","0","PENDING"
"00-book","00-book\阿德里安·福蒂：《欲求之物：1750年以来的设计与社会》，2001.md","230317","117397","12","09E5D7EB03C1116D9EFA282E5C718EE5BC2E0C42FEF50C8B0F16E2DD565A4A6D","7000","17","0","PENDING"
"00-book","00-book\曹小鸥：《中国现代设计思想：生活、启蒙、变迁》，2018.md","625505","242775","50","4CD58AF13B6AED3A00F31281A8CC2CE72B74BDFE74B646FC1AAB085A07977865","7000","35","0","PENDING"
"00-book","00-book\大卫·瑞兹曼 (David Raizman)：《现代设计史（第2版）》，2013.md","1231348","554311","98","31CF12B0065D3D545DE841C90CAD43C80337137C785FDC9D05B0C42DC43FBBFE","7000","80","0","PENDING"
"00-book","00-book\樊进, 龙红：《中国当代设计全集 第4卷 平面类编 图案篇》，2015.md","608516","280431","278","1BD928CCE109E666A0A004FFE318BC105AF882BCFC837D6E06FB45E2D26A8DFA","7000","41","0","PENDING"
"00-book","00-book\杭间, 靳埭强, 胡恩威：《包豪斯道路：历史、遗泽、世界与中国》，2010.md","401430","188703","393","130125DEC441CF9870B7FAD5C9A5423B0AE12CE53F421FEE6F49299F47C9CA98","7000","27","0","PENDING"
"00-book","00-book\杭间：《设计道：中国设计的基本问题》，2008.md","581492","202183","39","16388786605E4E2ABD35C351C7E49DF742500B2138F673C8CEE976DE8BF9E931","7000","29","0","PENDING"
"00-book","00-book\杭间：《手艺的思想(修订版)》，2017.md","502943","172809","19","A1216F1C6B4ADD9DC65DE46083E8367A531923F50A9D3F42E89F0BC130E130EC","7000","25","0","PENDING"
"00-book","00-book\杭间：《中国工艺美学史(第三版修订本)》，2018.md","619366","224003","22","E1533F3F7E72955A69DA757B64D4ACCA7313B60E08AF74C9CCF8C9804F7025A4","7000","33","0","PENDING"
"00-book","00-book\何人可：《工业设计史(第四版)》，2010.md","1257628","481483","56","4BEC2F8B79FDCF1B412173E249EB362076DB62591D4E7785B2A0B4AFE65C20F7","7000","69","0","PENDING"
"00-book","00-book\胡天璇, 曾山, 王庆：《外国近现代设计史》，2012.md","488084","196957","21","76F79DAB9FEA35C7AEC15736D2E715B5A2A6A8294CC5384B8FEC135EF9A79387","7000","29","0","PENDING"
"00-book","00-book\霍维国, 霍光：《中国室内设计史(第2版)》，2015.md","527273","212539","32","1647C31A949DEB2854C90B67AAA15D2EC63BC7C4B3A503275E80292FDC6296F9","7000","31","0","PENDING"
"00-book","00-book\靳埭强：《中国现代设计与包豪斯＝BAUHAUS CHINESE MODERN DESIGN》.md","385809","163618","2641","CA3F6A700E9B2D54E6FE44CFB7DB3E4374A7A2E58F27300D5C5EFABFF3DA11A6","7000","24","0","PENDING"
"00-book","00-book\李砚祖, 王春雨：《室内设计史》，2013.md","1190548","479508","16","650A05C19935181F2A2EE96D5B4AE2DBEFE1E21AE3F5F61E4B6CFC159AD93BC9","7000","69","0","PENDING"
"00-book","00-book\李砚祖：《外国设计艺术经典论著选读(上)》，2004.md","1934341","676327","36","CF6B077FA93DDB23E1FEA424C0549A0D199E21BBCDBFF9FEFE0C211068815182","7000","97","0","PENDING"
"00-book","00-book\李砚祖：《外国设计艺术经典论著选读(下)》，2004.md","899878","315474","14","BC2E86EBF05084D06D796EF3ED4F32236258DA763C77B29A41D7FA74473062A1","7000","46","0","PENDING"
"00-book","00-book\李砚祖：《造物之美：产品设计的艺术与文化》，2000.md","864049","320978","14","0DC5CDAFC9BD9A480FDCABD6760030476986E7F27FC9A9561B609D1142BCF009","7000","46","0","PENDING"
"00-book","00-book\梁梅：《世界现代设计史》，2013.md","575419","238779","22","930D0C8E5F4955BED5FD52A8618398C05ED80A62B643A3BA0A32984E729B95E2","7000","35","0","PENDING"
"00-book","00-book\刘小羊：《中国平面设计史论稿》，2016.md","574396","214847","1","D74F287C5C0720C881E62BEB2C22FDBB814736952BD2EBDA58229CACED3A5CA5","7000","31","0","PENDING"
"00-book","00-book\柳冠中：《设计方法论》，2011.md","300928","148769","31","EE5AA7D4B8BBAB47D1E91E7F26B7E495B1FF610E5C8B9EF16D9D8B339FD908DB","7000","22","0","PENDING"
"00-book","00-book\柳冠中：《事理学方法论》，2013.md","552782","197070","575","D17CA5C105018FE5EFA107BF50E56E24E2D333FAC0C5794AD7AAF1B9F301C78D","7000","29","0","PENDING"
"00-book","00-book\尼古拉斯·佩夫斯纳：《现代设计的先驱者：从威廉·莫里斯到沃尔特·格罗皮乌斯》，2019.md","475527","257405","18","C39E7695B105126E75EAFC55831AEB8930A2B0487A0D2D3CDFC40D90E7C84F1E","7000","37","0","PENDING"
"00-book","00-book\邵宏：《西方设计：一部为生活制作艺术的历史》，2010.md","1982309","852908","22","FE0AD647C581086626518DB00963908A162D6BA202EC7751CD254B1A3CB42C32","7000","122","0","PENDING"
"00-book","00-book\设计与历史的质疑.md","722722","291414","3778","93DD7926BBC3B624B215EA0CB592FF09927884AAE810A4C1B33578BD46AAFE40","7000","42","0","PENDING"
"00-book","00-book\沈榆：《观念的演进：中国现代设计史》，2021.md","652771","232429","33","C62982A43637EBC9CDB00626A4CC2121D54C20DD261EA1C4CF00CE57C702995D","7000","34","0","PENDING"
"00-book","00-book\史蒂文·海勒, 西摩·切瓦斯特：《平面设计200年》，2018.md","452817","252548","50","141DA87752926C377A0060F59297E440D939BC931268E15FA12733774BEC5AB6","7000","37","0","PENDING"
